id	x	y	z	longitude	latitude
97592	12.083308183922355	-15.465320162930832	60.91648	-51.998905351895985	72.14210232061444
97605	15.08232544691269	-12.477112894376223	60.93312	-39.599838002388196	72.1907447582819
97618	17.363482637568364	-8.923913190818375	60.94976	-27.20077065288035	72.23951608771574
97626	13.22692672702243	-14.31526490701375	60.96	-47.26288305318286	72.26959373924294
97639	15.949418087014415	-11.111500213563298	60.97664	-34.86381570367507	72.3185755359812
97647	11.151478935311962	-15.882222307375432	60.98688	-54.92592810397838	72.3487835754165
97652	17.914956346057167	-7.407707739946688	60.99328	-22.46474835416734	72.36768904275237
97660	14.263005297689071	-13.081942802492806	61.00352	-42.52686075447059	72.39797868258148
97673	16.693847182937134	-9.687906884727084	61.02016	-30.1277934049628	72.44730729180438
97681	12.33681387264087	-14.801800542900716	61.0304	-50.18990580526611	72.4777302039157
97694	15.18558917026874	-11.77526172915985	61.04704	-37.79083845575826	72.5272768635183
97707	17.311945790200138	-8.217269486561335	61.06368	-25.391771106250474	72.57696001341506
97715	13.419727725829249	-13.634045753121477	61.07392	-45.453883506552984	72.60760260795831
97728	15.989624402996977	-10.405546133552189	61.09056	-33.054816157045195	72.65750872502655
97749	14.393876846195317	-12.388496163092691	61.11744	-40.71786120783992	72.73842170047085
97762	16.67098612122333	-8.983456144467993	61.13408	-28.31879385833213	72.7886954785607
97770	12.555763110886572	-14.132407595342697	61.14432	-48.38090625863538	72.81970409040359
97783	15.2537921612808	-11.075143185478384	61.16096	-35.98183890912759	72.87020918787917
97796	17.22649962155956	-7.519904855010368	61.1776	-23.5827715596198	72.92085914508806
97804	13.577458874194699	-12.949936164087894	61.18784	-43.644883959923106	72.95210091055161
97817	15.994910853502441	-9.704352359540028	61.20448	-31.245816610415375	73.00298761287814
97825	11.674430240414589	-14.576204371622033	61.21472	-51.30792901071783	73.03437612454742
97838	14.489416313815534	-11.695185652025184	61.23136	-38.908861661210096	73.08550302931432
97851	16.613600983751805	-8.286782147050879	61.248	-26.509794311702194	73.13678040021118
97859	12.739576642505986	-13.458499881937652	61.25824	-46.57190671200476	73.1684110894202
97872	15.286655359050874	-10.378210294612504	61.27488	-34.172839362496916	73.21993444051421
97880	10.77908604667916	-14.964804395109448	61.28512	-54.23495176280028	73.25171762833435
97893	13.699641143115922	-12.264340726359695	61.30176	-41.83588441329249	73.3034906441923
97914	11.883525148069591	-13.91329385176629	61.32864	-49.49892946408795	73.38745508365909
97927	14.549247711991802	-11.003454581934767	61.34528	-37.09986211458016	73.43964036794434
97940	16.521629092648702	-7.599378003398969	61.36192	-24.700794765072374	73.49198598627461
97948	12.887679646946628	-12.781458846785734	61.37216	-44.762907165374884	73.52427902957223
97961	15.28390804874757	-9.685937709764033	61.3888	-32.363839815867095	73.57688689386718
97982	13.785799349080406	-11.578686732289373	61.41568	-40.02688486666182	73.66221678091051
97995	15.900045968504386	-8.322175053256668	61.43232	-27.62781751715397	73.71525797105527
98003	12.056803721719374	-13.245576796135904	61.44256	-47.68992991745728	73.7479824085744
98016	14.57299814085239	-10.31476904960614	61.4592	-35.29086256794949	73.80129680891915
